Date,Event,EventDetail,Asset,IsClusterStart,DepressionScore,DepressionFlag,Depress_NBER_Recession,Depress_EquityCrash,Depress_CreditFreeze,Depress_LaborShock,Depress_HousingBust,Depress_Interbank,Depress_SPX_Drawdown_12m,Depress_SPX_Drawdown_5p,Depress_Credit_Max,Depress_Credit_Z,Depress_ICSA_4w_Max,Depress_ICSA_Z,Depress_HOUST_Z_Min,Depress_MORT_Z_Max,Depress_Interbank_Spread_Max,Depress_Interbank_Z,Fwd_30d,Fwd_90d,Fwd_180d
2015-01-05,SOLVENCY_DEATH,,^SPX,1,1,0,0,0,1,0,0,0,-7.57,-8.5,7.33,5.99,305600.0,-0.91,-1.01,0.05,,,3.9147164332158026,4.9748163293589505,-3.852357615795618
2015-01-05,FLASH_MOVE,,^SPX,1,1,0,0,0,1,0,0,0,-7.57,-8.5,7.33,5.99,305600.0,-0.91,-1.01,0.05,,,3.9147164332158026,4.9748163293589505,-3.852357615795618
2015-01-06,SOLVENCY_DEATH,,^SPX,0,1,0,0,0,1,0,0,0,-6.74,-8.49,7.33,5.97,305600.0,-0.91,-1.01,0.05,,,4.735818083103343,5.998172185089758,-3.1883380215308623
2015-01-06,FLASH_MOVE,,^SPX,0,1,0,0,0,1,0,0,0,-6.74,-8.49,7.33,5.97,305600.0,-0.91,-1.01,0.05,,,4.735818083103343,5.998172185089758,-3.1883380215308623
2015-01-07,SOLVENCY_DEATH,,^SPX,0,1,0,0,0,1,0,0,0,-7.81,-8.49,7.33,5.96,305600.0,-0.9,-1.01,0.05,,,4.166050811834753,5.098964683002521,-4.623132091958791
2015-01-07,BUY_BTC_NOW,,BTC-USD,1,1,0,0,0,1,0,0,0,-7.81,-8.49,7.33,5.96,305600.0,-0.9,-1.01,0.05,,,-17.17690867702765,-20.795550157156654,-20.31956482407423
2015-01-07,FLASH_MOVE,,^SPX,0,1,0,0,0,1,0,0,0,-7.81,-8.49,7.33,5.96,305600.0,-0.9,-1.01,0.05,,,4.166050811834753,5.098964683002521,-4.623132091958791
2015-01-08,SOLVENCY_DEATH,,^SPX,0,2,0,0,1,1,0,0,0,-9.43,-8.49,7.33,5.95,305600.0,-0.9,-1.02,0.06,,,2.30440329011043,3.1855348797286456,-6.34292208926156
2015-01-08,FLASH_MOVE,,^SPX,0,2,0,0,1,1,0,0,0,-9.43,-8.49,7.33,5.95,305600.0,-0.9,-1.02,0.06,,,2.30440329011043,3.1855348797286456,-6.34292208926156
2015-01-09,SOLVENCY_DEATH,,^SPX,0,1,0,0,0,1,0,0,0,-8.67,-8.71,7.33,5.94,305600.0,-0.89,-1.02,0.06,,,3.4560629031530143,3.9632062020583265,-7.973358619657092
2015-01-12,SOLVENCY_DEATH,,^SPX,0,1,0,0,0,1,0,0,0,-7.92,-8.76,7.38,6.01,305600.0,-0.88,-1.02,0.06,,,4.220371019696902,5.056553799806037,-7.1080652012644086
2015-01-12,FLASH_MOVE,,^SPX,0,1,0,0,0,1,0,0,0,-7.92,-8.76,7.38,6.01,305600.0,-0.88,-1.02,0.06,,,4.220371019696902,5.056553799806037,-7.1080652012644086
2015-01-13,SOLVENCY_DEATH,,^SPX,0,1,0,0,0,1,0,0,0,-7.68,-8.75,7.5,6.23,305600.0,-0.88,-1.02,0.06,,,4.33557385047737,5.0928571402711285,-5.091372767995872
2015-01-13,FLASH_MOVE,,^SPX,0,1,0,0,0,1,0,0,0,-7.68,-8.75,7.5,6.23,305600.0,-0.88,-1.02,0.06,,,4.33557385047737,5.0928571402711285,-5.091372767995872
2015-01-14,SOLVENCY_DEATH,,^SPX,0,1,0,0,0,1,0,0,0,-7.14,-8.74,7.57,6.36,305600.0,-0.88,-1.02,0.06,,,4.635378619648412,4.620460243437796,-4.348002624857341
2015-01-14,FLASH_MOVE,,^SPX,0,1,0,0,0,1,0,0,0,-7.14,-8.74,7.57,6.36,305600.0,-0.88,-1.02,0.06,,,4.635378619648412,4.620460243437796,-4.348002624857341
2015-01-15,SOLVENCY_DEATH,,^SPX,0,1,0,0,0,1,0,0,0,-6.28,-8.74,7.89,6.97,305600.0,-0.87,-1.02,0.07,,,6.258931277246388,6.564555778860671,-2.073100798562701
2015-01-15,FLASH_MOVE,,^SPX,0,1,0,0,0,1,0,0,0,-6.28,-8.74,7.89,6.97,305600.0,-0.87,-1.02,0.07,,,6.258931277246388,6.564555778860671,-2.073100798562701
2015-01-16,SOLVENCY_DEATH,,^SPX,0,1,0,0,0,1,0,0,0,-7.52,-8.73,7.89,6.96,305600.0,-0.87,-1.02,0.07,,,4.375512940781495,5.019757797349697,-1.602935219655773
2015-01-16,FLASH_MOVE,,^SPX,0,1,0,0,0,1,0,0,0,-7.52,-8.73,7.89,6.96,305600.0,-0.87,-1.02,0.07,,,4.375512940781495,5.019757797349697,-1.602935219655773
2015-01-20,SOLVENCY_DEATH,,^SPX,0,1,0,0,0,1,0,0,0,-8.07,-8.72,8.27,7.63,305600.0,-0.86,-1.02,0.07,,,3.7566427843292756,4.194696877793288,-2.1077354751993664
2015-01-20,FLASH_MOVE,,^SPX,0,1,0,0,0,1,0,0,0,-8.07,-8.72,8.27,7.63,305600.0,-0.86,-1.02,0.07,,,3.7566427843292756,4.194696877793288,-2.1077354751993664
2015-01-21,SOLVENCY_DEATH,,^SPX,0,1,0,0,0,1,0,0,0,-8.5,-8.71,8.27,7.62,305600.0,-0.86,-1.02,0.07,,,3.391534166826504,3.9175828958354195,-1.785821661599626
2015-01-21,FLASH_MOVE,,^SPX,0,1,0,0,0,1,0,0,0,-8.5,-8.71,8.27,7.62,305600.0,-0.86,-1.02,0.07,,,3.391534166826504,3.9175828958354195,-1.785821661599626
2015-01-22,SOLVENCY_DEATH,,^SPX,0,2,0,0,1,1,0,0,0,-9.88,-8.7,8.27,7.6,305600.0,-0.86,-1.03,0.08,,,0.3930934641570093,2.2514212496015107,-2.4098999581334573
2015-01-22,FLASH_MOVE,,^SPX,0,2,0,0,1,1,0,0,0,-9.88,-8.7,8.27,7.6,305600.0,-0.86,-1.03,0.08,,,0.3930934641570093,2.2514212496015107,-2.4098999581334573
2015-01-23,SOLVENCY_DEATH,,^SPX,0,2,0,0,1,1,0,0,0,-9.38,-8.86,8.27,7.59,305600.0,-0.86,-1.03,0.08,,,1.3456278992010593,3.0338917607807,-1.7998680430329637
2015-01-26,SOLVENCY_DEATH,,^SPX,0,2,0,0,1,1,0,0,0,-9.61,-8.98,8.27,7.55,305600.0,-0.85,-1.03,0.08,,,-0.6285604012703301,1.8837288764409394,-1.9265139230612114
2015-01-26,FLASH_MOVE,,^SPX,0,2,0,0,1,1,0,0,0,-9.61,-8.98,8.27,7.55,305600.0,-0.85,-1.03,0.08,,,-0.6285604012703301,1.8837288764409394,-1.9265139230612114
2015-01-27,SOLVENCY_DEATH,,^SPX,0,1,0,0,0,1,0,0,0,-8.39,-9.02,8.27,7.54,305600.0,-0.85,-1.03,0.08,,,0.5267148456093723,3.1179339151263252,-1.2741793402339001
2015-01-27,FLASH_MOVE,,^SPX,0,1,0,0,0,1,0,0,0,-8.39,-9.02,8.27,7.54,305600.0,-0.85,-1.03,0.08,,,0.5267148456093723,3.1179339151263252,-1.2741793402339001
2015-01-28,SOLVENCY_DEATH,,^SPX,0,1,0,0,0,1,0,0,0,-7.13,-9.02,8.27,7.53,305600.0,-0.85,-1.03,0.08,,,3.186054855915806,3.8518397031526312,-0.39557496953820925
2015-01-28,FLASH_MOVE,,^SPX,0,1,0,0,0,1,0,0,0,-7.13,-9.02,8.27,7.53,305600.0,-0.85,-1.03,0.08,,,3.186054855915806,3.8518397031526312,-0.39557496953820925
2015-01-29,SOLVENCY_DEATH,,^SPX,0,1,0,0,0,1,0,0,0,-8.01,-9.02,8.27,7.51,305600.0,-0.84,-1.04,0.09,,,1.5905950448361164,2.9140335111317253,0.12912729012059368
2015-01-29,FLASH_MOVE,,^SPX,0,1,0,0,0,1,0,0,0,-8.01,-9.02,8.27,7.51,305600.0,-0.84,-1.04,0.09,,,1.5905950448361164,2.9140335111317253,0.12912729012059368
2015-01-30,SOLVENCY_DEATH,,^SPX,0,1,0,0,0,1,0,0,0,-6.8,-9.01,8.27,7.5,305600.0,-0.84,-1.04,0.09,,,4.320821236889919,5.524336536874169,1.9107862848328925
