Date,Event,EventDetail,Asset,IsClusterStart,DepressionScore,DepressionFlag,Depress_NBER_Recession,Depress_EquityCrash,Depress_CreditFreeze,Depress_LaborShock,Depress_HousingBust,Depress_Interbank,Depress_SPX_Drawdown_12m,Depress_SPX_Drawdown_5p,Depress_Credit_Max,Depress_Credit_Z,Depress_ICSA_4w_Max,Depress_ICSA_Z,Depress_HOUST_Z_Min,Depress_MORT_Z_Max,Depress_Interbank_Spread_Max,Depress_Interbank_Z,Fwd_30d,Fwd_90d,Fwd_180d
2013-02-08,SOLVENCY_DEATH,,^SPX,1,0,0,0,0,0,0,0,0,-1.98,-17.81,5.34,-0.71,364300.0,-1.13,0.99,1.2,,,2.2240740021438077,7.312589913391224,15.932220673085546
2013-02-11,SOLVENCY_DEATH,,^SPX,0,0,0,0,0,0,0,0,0,-1.92,-17.81,5.34,-0.71,364300.0,-1.12,0.99,1.2,,,3.0823797776291095,4.692120103520092,16.15678037772506
2013-02-12,SOLVENCY_DEATH,,^SPX,0,0,0,0,0,0,0,0,0,-2.08,-17.81,5.34,-0.71,364300.0,-1.12,0.99,1.2,,,2.857645323583969,4.804433071579076,16.619382830042266
2013-02-12,SUGAR_CRASH,,^SPX,1,0,0,0,0,0,0,0,0,-2.08,-17.81,5.34,-0.71,364300.0,-1.12,0.99,1.2,,,2.857645323583969,4.804433071579076,16.619382830042266
2013-02-12,COMBO_CRISIS,,^SPX,1,0,0,0,0,0,0,0,0,-2.08,-17.81,5.34,-0.71,364300.0,-1.12,0.99,1.2,,,2.857645323583969,4.804433071579076,16.619382830042266
2013-02-13,SUGAR_CRASH,,^SPX,0,0,0,0,0,0,0,0,0,-2.14,-17.81,5.34,-0.71,364300.0,-1.12,0.99,1.2,,,3.213775085926477,3.470299954000721,15.982063733691392
2013-02-14,SUGAR_CRASH,,^SPX,0,0,0,0,0,0,0,0,0,-2.2,-17.81,5.34,-0.71,364300.0,-1.11,0.96,1.21,,,2.6811210172071336,4.380892623812048,15.457021482137936
2013-02-19,SUGAR_CRASH,,^SPX,0,0,0,0,0,0,0,0,0,-2.81,-17.81,5.34,-0.7,364300.0,-1.1,0.96,1.21,,,1.4860151848349394,5.373170268852271,15.480039803978165
2013-02-20,FLASH_MOVE,,^SPX,1,0,0,0,0,0,0,0,0,-1.59,-17.81,5.34,-0.7,364300.0,-1.1,0.96,1.21,,,3.1766943912163303,6.238968297322744,16.6024027010081
2013-02-22,FLASH_MOVE,,^SPX,0,0,0,0,0,0,0,0,0,-1.83,-17.81,5.34,-0.69,364300.0,-1.09,0.93,1.22,,,3.132091017933205,6.497755480015577,15.277781245582744
2013-02-25,FLASH_MOVE,,^SPX,0,0,0,0,0,0,0,0,0,0.0,-17.81,5.34,-0.69,364300.0,-1.08,0.93,1.22,,,5.4279672743093945,8.573448982550472,19.00460492693626
2013-02-26,FLASH_MOVE,,^SPX,0,0,0,0,0,0,0,0,0,0.0,-17.81,5.34,-0.69,364300.0,-1.08,0.93,1.22,,,6.065042193824445,9.015062629394015,18.367475249801597
